Common name,Scientific name,No.,No. Back
Biak Gerygone,Gerygone hypoxantha,4,0
Yellow-bellied Gerygone,Gerygone chrysogaster,15,10
Green-backed Gerygone,Gerygone chloronota,26,27
White-throated Gerygone,Gerygone olivacea,23,15
Fairy Gerygone,Gerygone palpebrosa,30,21
Mountain Thornbill,Acanthiza katherina,15,5
Brown Thornbill,Acanthiza pusilla,104,77
Inland Thornbill,Acanthiza apicalis,31,3
Tasmanian Thornbill,Acanthiza ewingii,33,5
New Guinea Thornbill,Acanthiza murina,5,0
Chestnut-rumped Thornbill,Acanthiza uropygialis,45,26
Buff-rumped Thornbill,Acanthiza reguloides,30,4
Western Thornbill,Acanthiza inornata,11,1
Slender-billed Thornbill,Acanthiza iredalei,3,1
Yellow-rumped Thornbill,Acanthiza chrysorrhoa,35,12
Yellow Thornbill,Acanthiza nana,19,15
Grey Thornbill,Acanthiza cinerea,3,0
Striated Thornbill,Acanthiza lineata,33,36
Slaty-backed Thornbill,Acanthiza robustirostris,6,0
Southern Whiteface,Aphelocephala leucopsis,20,4
Chestnut-breasted Whiteface,Aphelocephala pectoralis,3,0
Banded Whiteface,Aphelocephala nigricincta,6,0
Papuan Babbler,Garritornis isidorei,18,3
Grey-crowned Babbler,Pomatostomus temporalis,44,12
Hall's Babbler,Pomatostomus halli,8,3
White-browed Babbler,Pomatostomus superciliosus,45,32
Chestnut-crowned Babbler,Pomatostomus ruficeps,38,20
Papuan Logrunner,Orthonyx novaeguineae,25,0
Australian Logrunner,Orthonyx temminckii,32,18
Chowchilla,Orthonyx spaldingii,42,15
Loria's Satinbird,Cnemophilus loriae,7,1
Crested Satinbird,Cnemophilus macgregorii,4,1
Obscure Berrypecker,Melanocharis arfakiana,7,0
Mid-mountain Berrypecker,Melanocharis longicauda,5,0
Black Berrypecker,Melanocharis nigra,9,0
Fan-tailed Berrypecker,Melanocharis versteri,2,0
Satin Berrypecker,Melanocharis citreola,1,0
Spotted Berrypecker,Rhamphocharis piperata,1,0
Dwarf Longbill,Oedistoma iliolophus,8,2
Pygmy Longbill,Oedistoma pygmaeum,7,1
Yellow-bellied Longbill,Toxorhamphus novaeguineae,37,5
Slaty-headed Longbill,Toxorhamphus poliopterus,4,0
Tit Berrypecker,Oreocharis arfaki,15,0
Western Crested Berrypecker,Paramythia olivacea,3,0
Eastern Crested Berrypecker,Paramythia montium,2,0
North Island Kokako,Callaeas wilsoni,20,2
South Island Kokako,Callaeas cinereus,2,0
North Island Saddleback,Philesturnus rufusater,25,15
South Island Saddleback,Philesturnus carunculatus,7,0
Stitchbird,Notiomystis cincta,34,9
Papuan Whipbird,Androphobus viridis,1,0
Eastern Whipbird,Psophodes olivaceus,111,200
Black-throated Whipbird,Psophodes nigrogularis,15,1
White-bellied Whipbird,Psophodes leucogaster,11,0
Chirruping Wedgebill,Psophodes cristatus,23,5
Chiming Wedgebill,Psophodes occidentalis,7,1
Spotted Jewel-babbler,Ptilorrhoa leucosticta,24,2
Blue Jewel-babbler,Ptilorrhoa caerulescens,40,2
Brown-headed Jewel-babbler,Ptilorrhoa geislerorum,5,1
Chestnut-backed Jewel-babbler,Ptilorrhoa castanonota,32,0
Spotted Quail-thrush,Cinclosoma punctatum,21,0
Chestnut Quail-thrush,Cinclosoma castanotum,21,0
Copperback Quail-thrush,Cinclosoma clarum,5,0
Cinnamon Quail-thrush,Cinclosoma cinnamomeum,6,0
Nullarbor Quail-thrush,Cinclosoma alisteri,1,0
Chestnut-breasted Quail-thrush,Cinclosoma castaneothorax,19,5
Western Quail-thrush,Cinclosoma marginatum,8,0
Painted Quail-thrush,Cinclosoma ajax,17,3
Rwenzori Batis,Batis diops,22,4
Margaret's Batis,Batis margaritae,7,0
Forest Batis,Batis mixta,23,15
Dark Batis,Batis crypta,75,34
Cape Batis,Batis capensis,96,76
Woodward's Batis,Batis fratrum,12,4
Chinspot Batis,Batis molitor,141,127
Senegal Batis,Batis senegalensis,23,8
Grey-headed Batis,Batis orientalis,17,2
Pale Batis,Batis soror,19,9
Pririt Batis,Batis pririt,67,41
Eastern Black-headed Batis,Batis minor,11,0
Western Black-headed Batis,Batis erlangeri,19,0
Pygmy Batis,Batis perkeo,22,1
Angolan Batis,Batis minulla,7,0
Gabon Batis,Batis minima,3,1
Ituri Batis,Batis ituriensis,11,0
West African Batis,Batis occulta,8,0
Fernando Po Batis,Batis poensis,1,0
White-tailed Shrike,Lanioturdus torquatus,12,1
West African Wattle-eye,Platysteira hormophora,20,7
Chestnut Wattle-eye,Platysteira castanea,43,5
White-spotted Wattle-eye,Platysteira tonsa,3,0
Banded Wattle-eye,Platysteira laticincta,8,1
Black-throated Wattle-eye,Platysteira peltata,29,8
White-fronted Wattle-eye,Platysteira albifrons,4,0
Brown-throated Wattle-eye,Platysteira cyanea,123,61
Yellow-bellied Wattle-eye,Platysteira concreta,18,2
Red-cheeked Wattle-eye,Platysteira blissetti,30,4
Black-necked Wattle-eye,Platysteira chalybea,2,5
Jameson's Wattle-eye,Platysteira jamesoni,20,2
Fiery-breasted Bushshrike,Malaconotus cruentus,10,0
Monteiro's Bushshrike,Malaconotus monteiri,2,0
Grey-headed Bushshrike,Malaconotus blanchoti,124,28
Lagden's Bushshrike,Malaconotus lagdeni,2,0
Green-breasted Bushshrike,Malaconotus gladiator,4,0
Uluguru Bushshrike,Malaconotus alius,10,0
Mount Kupe Bushshrike,Chlorophoneus kupeensis,2,0
Many-colored Bushshrike,Chlorophoneus multicolor,8,3
Black-fronted Bushshrike,Chlorophoneus nigrifrons,76,10
Olive Bushshrike,Chlorophoneus olivaceus,97,33
Bocage's Bushshrike,Chlorophoneus bocagei,38,2
Orange-breasted Bushshrike,Chlorophoneus sulfureopectus,185,50
Gorgeous Bushshrike,Telophorus viridis,49,10
Doherty's Bushshrike,Telophorus dohertyi,39,2
Bokmakierie,Telophorus zeylonus,197,68
Rosy-patched Bushshrike,Telophorus cruentus,51,1
Marsh Tchagra,Bocagia minuta,9,0
Brown-crowned Tchagra,Tchagra australis,100,57
Three-streaked Tchagra,Tchagra jamesi,4,0
Southern Tchagra,Tchagra tchagra,28,7
Black-crowned Tchagra,Tchagra senegalus,206,77
Sabine's Puffback,Dryoscopus sabini,17,6
Pink-footed Puffback,Dryoscopus angolensis,11,0
Red-eyed Puffback,Dryoscopus senegalensis,22,4
Black-backed Puffback,Dryoscopus cubla,273,96
Northern Puffback,Dryoscopus gambensis,42,6
Pringle's Puffback,Dryoscopus pringlii,14,0
Lowland Sooty Boubou,Laniarius leucorhynchus,27,3
Mountain Sooty Boubou,Laniarius poensis,12,9
Albertine Sooty Boubou,Laniarius holomelas,34,0
Willard's Sooty Boubou,Laniarius willardi,11,1
Fülleborn's Boubou,Laniarius fuelleborni,155,28
Slate-colored Boubou,Laniarius funebris,100,91
Lühder's Bushshrike,Laniarius luehderi,48,8
Braun's Bushshrike,Laniarius brauni,2,0
Gabela Bushshrike,Laniarius amboimensis,2,3
Red-naped Bushshrike,Laniarius ruficeps,18,0
Black Boubou,Laniarius nigerrimus,3,0
Ethiopian Boubou,Laniarius aethiopicus,22,1
Tropical Boubou,Laniarius major,201,158
East Coast Boubou,Laniarius sublacteus,59,22
Southern Boubou,Laniarius ferrugineus,162,204
Swamp Boubou,Laniarius bicolor,23,11
Turati's Boubou,Laniarius turatii,11,4
Yellow-crowned Gonolek,Laniarius barbarus,112,106
Papyrus Gonolek,Laniarius mufumbiri,26,2
Black-headed Gonolek,Laniarius erythrogaster,49,23
Crimson-breasted Shrike,Laniarius atrococcineus,71,58
Yellow-breasted Boubou,Laniarius atroflavus,22,19
Brubru,Nilaus afer,145,56
Yellow-breasted Boatbill,Machaerirhynchus flaviventer,39,23
Black-breasted Boatbill,Machaerirhynchus nigripectus,19,5
Red-tailed Vanga,Calicalicus madagascariensis,47,20
Red-shouldered Vanga,Calicalicus rufocarpalis,19,3
Hook-billed Vanga,Vanga curvirostris,26,2
Bernier's Vanga,Oriolia bernieri,14,0
Lafresnaye's Vanga,Xenopirostris xenopirostris,14,0
Van Dam's Vanga,Xenopirostris damii,23,0
Pollen's Vanga,Xenopirostris polleni,20,5
Sickle-billed Vanga,Falculea palliata,28,3
White-headed Vanga,Artamella viridis,12,2
Chabert Vanga,Leptopterus chabert,8,2
Blue Vanga,Cyanolanius madagascarinus,20,7
Rufous Vanga,Schetba rufa,26,4
Helmet Vanga,Euryceros prevostii,8,1
Tylas Vanga,Tylas eduardi,23,5
Nuthatch Vanga,Hypositta corallirostris,9,0
Dark Newtonia,Newtonia amphichroa,33,1
Common Newtonia,Newtonia brunneicauda,54,66
Archbold's Newtonia,Newtonia archboldi,15,1
Red-tailed Newtonia,Newtonia fanovanae,11,0
Ward's Flycatcher,Pseudobias wardi,8,1
Crossley's Vanga,Mystacornis crossleyi,34,0
White-crested Helmetshrike,Prionops plumatus,40,0
Grey-crested Helmetshrike,Prionops poliolophus,7,0
Red-billed Helmetshrike,Prionops caniceps,17,6
Rufous-bellied Helmetshrike,Prionops rufiventris,9,1
Retz's Helmetshrike,Prionops retzii,26,1
Gabela Helmetshrike,Prionops gabela,3,0
Chestnut-fronted Helmetshrike,Prionops scopifrons,4,4
Bar-winged Flycatcher-shrike,Hemipus picatus,46,14
Black-winged Flycatcher-shrike,Hemipus hirundinaceus,29,14
Large Woodshrike,Tephrodornis virgatus,65,7
Malabar Woodshrike,Tephrodornis sylvicola,12,2
Common Woodshrike,Tephrodornis pondicerianus,36,6
Sri Lanka Woodshrike,Tephrodornis affinis,2,0
Rufous-winged Philentoma,Philentoma pyrhoptera,51,19
Maroon-breasted Philentoma,Philentoma velata,42,5
African Shrike-flycatcher,Megabyas flammulatus,15,0
Black-and-white Shrike-flycatcher,Bias musicus,40,3
Bornean Bristlehead,Pityriasis gymnocephala,38,2
Ashy Woodswallow,Artamus fuscus,60,3
White-breasted Woodswallow,Artamus leucorynchus,62,45
Fiji Woodswallow,Artamus mentalis,4,0
Ivory-backed Woodswallow,Artamus monachus,5,0
Great Woodswallow,Artamus maximus,15,2
White-backed Woodswallow,Artamus insignis,1,0
Masked Woodswallow,Artamus personatus,24,53
White-browed Woodswallow,Artamus superciliosus,26,27
Black-faced Woodswallow,Artamus cinereus,16,2
Dusky Woodswallow,Artamus cyanopterus,19,14
Little Woodswallow,Artamus minor,6,1
Lowland Peltops,Peltops blainvillii,5,0
Mountain Peltops,Peltops montanus,22,2
Black Butcherbird,Melloria quoyi,98,86
Australian Magpie,Gymnorhina tibicen,93,335
Grey Butcherbird,Cracticus torquatus,108,204
Silver-backed Butcherbird,Cracticus argenteus,11,6
Black-backed Butcherbird,Cracticus mentalis,8,3
Pied Butcherbird,Cracticus nigrogularis,99,140
Hooded Butcherbird,Cracticus cassicus,45,32
Tagula Butcherbird,Cracticus louisiadensis,2,0
Pied Currawong,Strepera graculina,92,153
Black Currawong,Strepera fuliginosa,23,6
Grey Currawong,Strepera versicolor,57,21
Mottled Berryhunter,Rhagologus leucostigma,5,1
Common Iora,Aegithina tiphia,327,145
Marshall's Iora,Aegithina nigrolutea,10,0
Green Iora,Aegithina viridissima,33,29
Great Iora,Aegithina lafresnayei,32,6
White-bellied Minivet,Pericrocotus erythropygius,11,0
Jerdon's Minivet,Pericrocotus albifrons,2,0
Fiery Minivet,Pericrocotus igneus,12,0
Small Minivet,Pericrocotus cinnamomeus,51,13
Grey-chinned Minivet,Pericrocotus solaris,64,31
Sunda Minivet,Pericrocotus miniatus,18,1
Short-billed Minivet,Pericrocotus brevirostris,13,3
Little Minivet,Pericrocotus lansbergei,5,0
Long-tailed Minivet,Pericrocotus ethologus,71,23
Orange Minivet,Pericrocotus flammeus,21,7
Scarlet Minivet,Pericrocotus speciosus,140,24
Ashy Minivet,Pericrocotus divaricatus,69,83
Ryukyu Minivet,Pericrocotus tegimae,17,1
Swinhoe's Minivet,Pericrocotus cantonensis,35,5
Rosy Minivet,Pericrocotus roseus,9,7
Madagascar Cuckooshrike,Ceblepyris cinereus,12,7
Comoros Cuckooshrike,Ceblepyris cucullatus,2,0
White-breasted Cuckooshrike,Ceblepyris pectoralis,17,0
Grey Cuckooshrike,Ceblepyris caesius,22,5
Stout-billed Cuckooshrike,Coracina caeruleogrisea,5,1
Hooded Cuckooshrike,Coracina longicauda,21,1
Cerulean Cuckooshrike,Coracina temminckii,8,0
Pied Cuckooshrike,Coracina bicolor,19,1
Ground Cuckooshrike,Coracina maxima,2,0
Barred Cuckooshrike,Coracina lineata,16,5
Black-faced Cuckooshrike,Coracina novaehollandiae,46,27
Boyer's Cuckooshrike,Coracina boyeri,15,2
Buru Cuckooshrike,Coracina fortis,2,0
Wallacean Cuckooshrike,Coracina personata,17,0
North Melanesian Cuckooshrike,Coracina welchmani,6,0
South Melanesian Cuckooshrike,Coracina caledonica,11,2
Bar-bellied Cuckooshrike,Coracina striata,25,2
Javan Cuckooshrike,Coracina javensis,10,0
Large Cuckooshrike,Coracina macei,98,13
Andaman Cuckooshrike,Coracina dobsoni,4,0
Slaty Cuckooshrike,Coracina schistacea,3,0
White-rumped Cuckooshrike,Coracina leucopygia,3,0
Sunda Cuckooshrike,Coracina larvata,12,0
White-bellied Cuckooshrike,Coracina papuensis,58,33
Moluccan Cuckooshrike,Coracina atriceps,6,0
Black Cuckooshrike,Campephaga flava,25,12
Red-shouldered Cuckooshrike,Campephaga phoenicea,3,0
Petit's Cuckooshrike,Campephaga petiti,3,0
Purple-throated Cuckooshrike,Campephaga quiscalina,29,5
Golden Cuckooshrike,Campochaera sloetii,21,0
McGregor's Cuckooshrike,Malindangia mcgregori,21,0
New Caledonian Cuckooshrike,Edolisoma anale,2,0
White-winged Cuckooshrike,Edolisoma ostentum,11,0
Blackish Cuckooshrike,Edolisoma coerulescens,12,5
Black-bellied Cuckooshrike,Edolisoma montanum,20,1
Pale-shouldered Cicadabird,Edolisoma dohertyi,6,0
Kai Cicadabird,Edolisoma dispar,6,0
Grey-headed Cuckooshrike,Edolisoma schisticeps,9,3
Pale Cicadabird,Edolisoma ceramense,5,0
Black-bibbed Cicadabird,Edolisoma mindanense,4,0
Makira Cicadabird,Edolisoma salomonis,13,2
Solomons Cuckooshrike,Edolisoma holopolium,7,0
Sulawesi Cicadabird,Edolisoma morio,11,0
Black-shouldered Cicadabird,Edolisoma incertum,5,1
Grey-capped Cicadabird,Edolisoma remotum,16,0
Common Cicadabird,Edolisoma tenuirostre,54,10
Admiralty Cicadabird,Edolisoma admiralitatis,2,0
Palau Cicadabird,Edolisoma monacha,2,0
Yap Cicadabird,Edolisoma nesiotis,1,0
Pohnpei Cicadabird,Edolisoma insperatum,2,0
Black Cicadabird,Edolisoma melas,11,4
Halmahera Cuckooshrike,Edolisoma parvulum,10,1
Pygmy Cuckooshrike,Celebesica abbotti,4,0
Blue Cuckooshrike,Cyanograucalus azureus,13,4
Polynesian Triller,Lalage maculosa,14,6
Samoan Triller,Lalage sharpei,2,0
White-shouldered Triller,Lalage sueurii,19,3
Long-tailed Triller,Lalage leucopyga,16,7
White-winged Triller,Lalage tricolor,36,29
Rufous-bellied Triller,Lalage aurea,18,1
Black-browed Triller,Lalage atrovirens,15,1
Biak Triller,Lalage leucoptera,4,0
White-browed Triller,Lalage moesta,8,1
Varied Triller,Lalage leucomela,52,54
Black-and-white Triller,Lalage melanoleuca,4,0
Pied Triller,Lalage nigra,37,4
White-rumped Triller,Lalage leucopygialis,9,0
Black-winged Cuckooshrike,Lalage melaschistos,57,12
Black-headed Cuckooshrike,Lalage melanoptera,33,2
Indochinese Cuckooshrike,Lalage polioptera,10,0
Lesser Cuckooshrike,Lalage fimbriata,34,11
Mauritius Cuckooshrike,Lalage typica,28,0
Reunion Cuckooshrike,Lalage newtoni,15,0
Yellowhead,Mohoua ochrocephala,26,3
Whitehead,Mohoua albicilla,30,42
Pipipi,Mohoua novaeseelandiae,15,2
Varied Sittella,Daphoenositta chrysoptera,18,1
Papuan Sittella,Daphoenositta papuensis,3,0
Black Sittella,Daphoenositta miranda,4,0
Wattled Ploughbill,Eulacestoma nigropectus,14,2
Rufous-naped Bellbird,Aleadryas rufinucha,37,1
Piping Bellbird,Ornorectes cristatus,13,2
Crested Bellbird,Oreoica gutturalis,44,59
Crested Shriketit,Falcunculus frontatus,27,3
Maroon-backed Whistler,Coracornis raveni,11,0
Sangihe Shrikethrush,Coracornis sanghirensis,1,0
Black Pitohui,Melanorectes nigrescens,19,1
Olive Whistler,Pachycephala olivacea,55,8
Red-lored Whistler,Pachycephala rufogularis,6,1
Gilbert's Whistler,Pachycephala inornata,33,7
Mangrove Whistler,Pachycephala cinerea,98,9
Green-backed Whistler,Pachycephala albiventris,3,0
White-vented Whistler,Pachycephala homeyeri,39,0
Island Whistler,Pachycephala phaionota,1,0
Biak Whistler,Pachycephala melanorhyncha,6,1
Rusty Whistler,Pachycephala hyperythra,8,2
Brown-backed Whistler,Pachycephala modesta,3,0
Yellow-bellied Whistler,Pachycephala philippinensis,32,9
Sulphur-vented Whistler,Pachycephala sulfuriventer,34,1
Bornean Whistler,Pachycephala hypoxantha,42,2
Vogelkop Whistler,Pachycephala meyeri,5,0
Grey Whistler,Pachycephala simplex,69,54
Fawn-breasted Whistler,Pachycephala orpheus,10,17
Sclater's Whistler,Pachycephala soror,12,4
Rusty-breasted Whistler,Pachycephala fulvotincta,28,9
Yellow-throated Whistler,Pachycephala macrorhyncha,29,0
Baliem Whistler,Pachycephala balim,5,0
Black-chinned Whistler,Pachycephala mentalis,25,18
Australian Golden Whistler,Pachycephala pectoralis,125,120
Western Whistler,Pachycephala fuliginosa,22,6
Bismarck Whistler,Pachycephala citreogaster,5,1
Oriole Whistler,Pachycephala orioloides,49,15
Louisiade Whistler,Pachycephala collaris,2,0
Rennell Whistler,Pachycephala feminina,2,0
Melanesian Whistler,Pachycephala chlorura,20,5
New Caledonian Whistler,Pachycephala caledonica,5,1
Fiji Whistler,Pachycephala vitiensis,36,8
Temotu Whistler,Pachycephala vanikorensis,2,0
Tongan Whistler,Pachycephala jacquinoti,20,1
Mangrove Golden Whistler,Pachycephala melanura,26,8
Samoan Whistler,Pachycephala flavifrons,5,0
Hooded Whistler,Pachycephala implicata,6,2
Bougainville Whistler,Pachycephala richardsi,6,3
Bare-throated Whistler,Pachycephala nudigula,34,4
Lorentz's Whistler,Pachycephala lorentzi,5,0
Regent Whistler,Pachycephala schlegelii,39,12
Golden-backed Whistler,Pachycephala aurea,1,0
Rufous Whistler,Pachycephala rufiventris,127,176
Black-headed Whistler,Pachycephala monacha,18,0
White-bellied Whistler,Pachycephala leucogastra,6,2
Wallacean Whistler,Pachycephala arctitorquis,12,6
Drab Whistler,Pachycephala griseonota,23,2
Cinnamon-breasted Whistler,Pachycephala johni,2,0
White-breasted Whistler,Pachycephala lanioides,14,2
Morningbird,Pachycephala tenebrosa,2,1
White-bellied Pitohui,Pseudorectes incertus,3,0
Rusty Pitohui,Pseudorectes ferrugineus,28,3
Bower's Shrikethrush,Colluricincla boweri,28,11
Sooty Shrikethrush,Colluricincla tenebrosa,5,1
Arafura Shrikethrush,Colluricincla megarhyncha,22,4
Variable Shrikethrush,Colluricincla fortis,4,0
Waigeo Shrikethrush,Colluricincla affinis,2,0
Mamberamo Shrikethrush,Colluricincla obscura,4,0
Tagula Shrikethrush,Colluricincla discolor,4,0
Sepik-Ramu Shrikethrush,Colluricincla tappenbecki,8,9
Rufous Shrikethrush,Colluricincla rufogaster,100,64
Grey Shrikethrush,Colluricincla harmonica,202,256
Sandstone Shrikethrush,Colluricincla woodwardi,6,2
Yellow-billed Shrike,Corvinella corvina,52,12
Magpie Shrike,Urolestes melanoleucus,55,7
Northern White-crowned Shrike,Eurocephalus ruppelli,19,2
Southern White-crowned Shrike,Eurocephalus anguitimens,19,4
Tiger Shrike,Lanius tigrinus,26,2
Souza's Shrike,Lanius souzae,12,0
Bull-headed Shrike,Lanius bucephalus,37,59
Brown Shrike,Lanius cristatus,198,32
Red-backed Shrike,Lanius collurio,705,137
Isabelline Shrike,Lanius isabellinus,40,14
Red-tailed Shrike,Lanius phoenicuroides,36,1
Burmese Shrike,Lanius collurioides,50,0
Emin's Shrike,Lanius gubernator,3,0
Bay-backed Shrike,Lanius vittatus,22,0
Long-tailed Shrike,Lanius schach,207,47
Grey-backed Shrike,Lanius tephronotus,42,1
Mountain Shrike,Lanius validirostris,9,0
Mackinnon's Shrike,Lanius mackinnoni,14,0
Lesser Grey Shrike,Lanius minor,45,1
Loggerhead Shrike,Lanius ludovicianus,216,77
Northern Shrike,Lanius borealis,34,0
Great Grey Shrike,Lanius excubitor,361,15
Iberian Grey Shrike,Lanius meridionalis,126,37
Giant Grey Shrike,Lanius giganteus,1,0
Chinese Grey Shrike,Lanius sphenocercus,11,0
Grey-backed Fiscal,Lanius excubitoroides,19,0
Long-tailed Fiscal,Lanius cabanisi,39,5
Taita Fiscal,Lanius dorsalis,3,0
Somali Fiscal,Lanius somalicus,16,0
Northern Fiscal,Lanius humeralis,38,10
Southern Fiscal,Lanius collaris,66,19
Sao Tome Fiscal,Lanius newtoni,8,2
Woodchat Shrike,Lanius senator,202,88
Masked Shrike,Lanius nubicus,36,1
Green Shrike-babbler,Pteruthius xanthochlorus,45,2
Black-eared Shrike-babbler,Pteruthius melanotis,35,5
Black-headed Shrike-babbler,Pteruthius rufiventer,26,4
Himalayan Shrike-babbler,Pteruthius ripleyi,17,1
Blyth's Shrike-babbler,Pteruthius aeralatus,190,87
Dalat Shrike-babbler,Pteruthius annamensis,14,6
Pied Shrike-babbler,Pteruthius flaviscapis,19,10
Clicking Shrike-babbler,Pteruthius intermedius,18,11
Trilling Shrike-babbler,Pteruthius aenobarbus,16,2
White-bellied Erpornis,Erpornis zantholeuca,78,61
Rufous-browed Peppershrike,Cyclarhis gujanensis,815,1511
Black-billed Peppershrike,Cyclarhis nigrirostris,145,54
Chestnut-sided Shrike-Vireo,Vireolanius melitophrys,44,5
Green Shrike-Vireo,Vireolanius pulchellus,77,150
Yellow-browed Shrike-Vireo,Vireolanius eximius,46,16
Slaty-capped Shrike-Vireo,Vireolanius leucotis,156,244
Grey-eyed Greenlet,Hylophilus amaurocephalus,89,37
Rufous-crowned Greenlet,Hylophilus poicilotis,97,101
Olivaceous Greenlet,Hylophilus olivaceus,53,22
Ashy-headed Greenlet,Hylophilus pectoralis,123,110
Brown-headed Greenlet,Hylophilus brunneiceps,23,2
Lemon-chested Greenlet,Hylophilus thoracicus,117,79
Scrub Greenlet,Hylophilus flavipes,131,127
Grey-chested Greenlet,Hylophilus semicinereus,79,116
Tawny-crowned Greenlet,Tunchiornis ochraceiceps,180,119
Lesser Greenlet,Pachysylvia decurtata,158,377
Dusky-capped Greenlet,Pachysylvia hypoxantha,115,225
Buff-cheeked Greenlet,Pachysylvia muscicapina,65,77
Golden-fronted Greenlet,Pachysylvia aurantiifrons,47,33
Rufous-naped Greenlet,Pachysylvia semibrunnea,79,57
Golden Vireo,Vireo hypochryseus,102,107
Yellow-green Vireo,Vireo flavoviridis,137,112
Red-eyed Vireo,Vireo olivaceus,362,1360
Yucatan Vireo,Vireo magister,19,15
Black-whiskered Vireo,Vireo altiloquus,77,102
